iter	Passed	Remaining
783	4185	1153
784	4190	1147
785	4196	1142
786	4200	1136
787	4205	1131
788	4211	1126
789	4217	1121
790	4222	1115
791	4227	1110
792	4233	1105
793	4238	1099
794	4243	1094
795	4248	1088
796	4254	1083
797	4259	1078
798	4264	1072
799	4269	1067
800	4275	1062
801	4280	1056
802	4286	1051
803	4291	1046
804	4297	1040
805	4302	1035
806	4307	1030
807	4313	1024
808	4318	1019
809	4323	1014
810	4328	1008
811	4334	1003
812	4339	998
813	4344	992
814	4349	987
815	4354	981
816	4360	976
817	4365	971
818	4370	965
819	4375	960
820	4381	955
821	4386	949
822	4392	944
823	4396	939
824	4401	933
825	4407	928
826	4412	923
827	4417	917
828	4423	912
829	4428	907
830	4433	901
831	4438	896
832	4444	891
833	4450	885
834	4455	880
835	4461	875
836	4466	869
837	4471	864
838	4477	859
839	4482	853
840	4487	848
841	4492	843
842	4497	837
843	4502	832
844	4509	827
845	4514	821
846	4518	816
847	4524	811
848	4530	805
849	4535	800
850	4541	795
851	4546	789
852	4552	784
853	4557	779
854	4562	773
855	4568	768
856	4574	763
857	4578	757
858	4583	752
859	4589	747
860	4595	741
861	4600	736
862	4606	731
863	4611	725
864	4616	720
865	4620	715
866	4626	709
867	4632	704
868	4637	699
869	4642	693
870	4647	688
871	4652	683
872	4657	677
873	4663	672
874	4668	666
875	4673	661
876	4678	656
877	4683	650
878	4689	645
879	4694	640
880	4700	634
881	4705	629
882	4710	624
883	4716	618
884	4721	613
885	4727	608
886	4733	602
887	4737	597
888	4743	592
889	4749	586
890	4754	581
891	4759	576
892	4764	570
893	4770	565
894	4776	560
895	4781	554
896	4786	549
897	4791	544
898	4796	538
899	4801	533
900	4806	528
901	4811	522
902	4816	517
903	4822	512
904	4828	506
905	4832	501
906	4838	496
907	4843	490
908	4848	485
909	4854	480
910	4859	474
911	4864	469
912	4869	464
913	4875	458
914	4880	453
915	4886	448
916	4891	442
917	4896	437
918	4901	432
919	4906	426
920	4912	421
921	4917	416
922	4922	410
923	4928	405
924	4933	399
925	4938	394
926	4943	389
927	4948	383
928	4953	378
929	4958	373
930	4964	367
931	4970	362
932	4975	357
933	4981	351
934	4986	346
935	4991	341
936	4996	335
937	5002	330
938	5007	325
939	5012	319
940	5018	314
941	5023	309
942	5028	303
943	5033	298
944	5038	293
945	5043	287
946	5048	282
947	5054	277
948	5059	271
949	5064	266
950	5069	261
951	5075	255
952	5080	250
953	5085	245
954	5091	239
955	5096	234
956	5101	229
957	5106	223
958	5111	218
959	5116	213
960	5120	207
961	5126	202
962	5131	197
963	5136	191
964	5140	186
965	5146	181
966	5151	175
967	5156	170
968	5161	165
969	5166	159
970	5172	154
971	5177	149
972	5183	143
973	5188	138
974	5195	133
975	5200	127
976	5206	122
977	5211	117
978	5216	111
979	5221	106
980	5226	101
981	5231	95
982	5236	90
983	5241	85
984	5246	79
985	5251	74
986	5256	69
987	5262	63
988	5267	58
989	5272	53
990	5277	47
991	5283	42
992	5288	37
993	5293	31
994	5298	26
995	5303	21
996	5308	15
997	5313	10
998	5318	5
999	5324	0
